X1_ActualPosition,X1_ActualVelocity,X1_ActualAcceleration,X1_CommandPosition,X1_CommandVelocity,X1_CommandAcceleration,X1_CurrentFeedback,X1_DCBusVoltage,X1_OutputCurrent,X1_OutputVoltage,X1_OutputPower,Y1_ActualPosition,Y1_ActualVelocity,Y1_ActualAcceleration,Y1_CommandPosition,Y1_CommandVelocity,Y1_CommandAcceleration,Y1_CurrentFeedback,Y1_DCBusVoltage,Y1_OutputCurrent,Y1_OutputVoltage,Y1_OutputPower,Z1_ActualPosition,Z1_ActualVelocity,Z1_ActualAcceleration,Z1_CommandPosition,Z1_CommandVelocity,Z1_CommandAcceleration,Z1_CurrentFeedback,Z1_DCBusVoltage,Z1_OutputCurrent,Z1_OutputVoltage,S1_ActualPosition,S1_ActualVelocity,S1_ActualAcceleration,S1_CommandPosition,S1_CommandVelocity,S1_CommandAcceleration,S1_CurrentFeedback,S1_DCBusVoltage,S1_OutputCurrent,S1_OutputVoltage,S1_OutputPower,S1_SystemInertia,M1_CURRENT_PROGRAM_NUMBER,M1_sequence_number,M1_CURRENT_FEEDRATE,Machining_Process,exp_num
198.0,0.0,0.0,198.0,0.0,0.0,0.18,0.0207,329.0,2.77,-1.42e-06,158.0,-0.025,-6.25,158.0,0.0,0.0,0.539,0.0167,328.0,1.84,6.429999999999999e-07,119.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-361.0,0.001,0.25,-361.0,0.0,0.0,0.524,2.74e-19,329.0,0.0,6.96e-07,12.0,1.0,0.0,50.0,Starting,1
141.0,0.1,62.5,141.0,0.0,0.0,-4.23,0.043,326.0,5.54,-6.31e-06,77.8,-0.175,-56.3,77.8,0.0,0.0,1.38,0.03,324.0,2.99,-1.17e-05,27.6,10.9,1110.0,27.7,18.0,1000.0,0.0,0.0,0.0,0.0,766.0,53.4,39.6,766.0,53.3,0.0,19.1,0.982,319.0,116.0,0.19,12.0,1.0,130.0,50.0,end,1
198.0,-10.8,-350.0,198.0,-13.6,-358.0,-10.9,0.18600000000000005,328.0,23.3,0.00448,158.0,-19.8,-750.0,157.0,-24.6,-647.0,-14.5,0.281,325.0,37.8,0.0126,119.0,-20.3,-712.0,118.0,-25.6,-674.0,0.0,0.0,0.0,0.0,-361.0,0.0,0.25,-361.0,0.0,0.0,-0.28800000000000003,2.74e-19,328.0,0.0,-5.27e-07,12.0,1.0,4.0,50.0,Prep,1
141.0,0.225,125.0,141.0,0.0,0.0,-5.62,0.0538,325.0,4.26,-7.35e-06,102.0,5.88,6.25,103.0,6.0,0.0,4.69,0.105,324.0,15.8,0.00134,29.5,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,302.0,53.4,54.4,303.0,53.3,0.0,17.8,0.828,319.0,120.0,0.156,12.0,1.0,27.0,6.0,Layer 1 Up,1
198.0,0.0,0.0,198.0,0.0,0.0,-0.255,2.79e-19,328.0,0.0,4.13e-07,158.0,0.0,0.0,158.0,0.0,0.0,0.236,2.68e-19,332.0,0.0,4.04e-07,119.0,0.025,6.25,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1160.0,0.001,0.25,-1160.0,0.0,0.0,-1.52,0.0,331.0,0.0,6.08e-06,12.0,0.0,0.0,50.0,Layer 2 Up,2
198.0,0.0,0.0,198.0,0.0,0.0,-0.147,2.79e-19,328.0,0.0,-1.35e-06,158.0,0.0,0.0,158.0,0.0,0.0,0.0268,2.68e-19,332.0,0.0,1.59e-07,119.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1160.0,0.003,1.0,-1160.0,0.0,0.0,-1.46,0.0,331.0,0.0,-5.63e-06,12.0,4.0,0.0,50.0,Repositioning,2
158.0,19.9,-43.8,158.0,20.0,0.0,5.84,0.116,326.0,32.4,0.00484,91.6,-0.15,-68.7,91.6,0.0,0.0,-3.65,0.0731,325.0,4.2,0.0,27.5,0.025,6.25,27.5,0.0,0.0,0.0,0.0,0.0,0.0,1950.0,53.4,34.0,1950.0,53.3,9.54e-07,19.6,1.04,322.0,117.0,0.201,12.0,1.0,122.0,20.0,Layer 3 Up,2
198.0,0.0,0.0,198.0,0.0,0.0,0.208,2.79e-19,329.0,0.0,4.25e-07,158.0,0.0,0.0,158.0,0.0,0.0,-1.49,2.68e-19,333.0,0.0,0.0,119.0,0.0,6.25,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1160.0,-0.00175,-0.875,-1160.0,0.0,0.0,-1.17,0.0,332.0,0.0,-6.45e-06,12.0,0.0,0.0,50.0,End,2
196.0,-17.8,-6.25,196.0,-17.9,-9.54e-05,-8.59,0.14,328.0,30.6,0.00533,154.0,-32.5,0.0,154.0,-32.3,-9.54e-05,-7.79,0.139,327.0,49.4,0.00943,115.0,-33.7,37.5,115.0,-33.7,-9.54e-05,0.0,0.0,0.0,0.0,-361.0,0.0,-0.438,-361.0,0.0,0.0,0.524,2.74e-19,328.0,0.0,9.1e-07,12.0,1.0,7.0,50.0,Prep,1
194.0,-18.0,0.0,194.0,-17.9,-9.54e-05,-6.11,0.13,327.0,30.3,0.00489,151.0,-32.6,-62.5,151.0,-32.3,-9.54e-05,-8.13,0.156,325.0,47.6,0.0105,112.0,-33.7,-6.25,112.0,-33.7,0.0,0.0,0.0,0.0,0.0,-361.0,-0.001,-0.25,-361.0,0.0,0.0,-0.18,2.74e-19,328.0,0.0,1.07e-06,12.0,1.0,7.0,50.0,Prep,1
