X1_ActualPosition,X1_ActualVelocity,X1_ActualAcceleration,X1_CommandPosition,X1_CommandVelocity,X1_CommandAcceleration,X1_CurrentFeedback,X1_DCBusVoltage,X1_OutputCurrent,X1_OutputVoltage,X1_OutputPower,Y1_ActualPosition,Y1_ActualVelocity,Y1_ActualAcceleration,Y1_CommandPosition,Y1_CommandVelocity,Y1_CommandAcceleration,Y1_CurrentFeedback,Y1_DCBusVoltage,Y1_OutputCurrent,Y1_OutputVoltage,Y1_OutputPower,Z1_ActualPosition,Z1_ActualVelocity,Z1_ActualAcceleration,Z1_CommandPosition,Z1_CommandVelocity,Z1_CommandAcceleration,Z1_CurrentFeedback,Z1_DCBusVoltage,Z1_OutputCurrent,Z1_OutputVoltage,S1_ActualPosition,S1_ActualVelocity,S1_ActualAcceleration,S1_CommandPosition,S1_CommandVelocity,S1_CommandAcceleration,S1_CurrentFeedback,S1_DCBusVoltage,S1_OutputCurrent,S1_OutputVoltage,S1_OutputPower,S1_SystemInertia,M1_CURRENT_PROGRAM_NUMBER,M1_sequence_number,M1_CURRENT_FEEDRATE,Machining_Process,exp_num
198.0,0.0,6.25,198.0,0.0,0.0,-1.1,0.0191,328.0,1.67,0.0,158.0,-0.05,-31.3,158.0,0.0,0.0,-1.05,0.0231,327.0,2.45,2.78e-08,119.0,-0.025,-6.25,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-978.0,0.0,-0.5,-978.0,0.0,0.0,-0.415,2.79e-19,328.0,0.0,-6.8e-06,12.0,1.0,2.0,50.0,Prep,6
158.0,-5.07,-56.3,158.0,-4.95,-5.16,-4.01,0.0831,325.0,11.6,0.000848,103.0,3.65,-6.25,103.0,3.4,-7.46,2.89,0.0457,323.0,5.6,0.000251,27.7,0.025,12.5,27.7,0.0,0.0,0.0,0.0,0.0,0.0,-586.0,53.4,49.1,-586.0,53.3,0.0,16.7,0.905,321.0,118.0,0.172,12.0,1.0,116.0,6.0,Layer 2 Down,6
162.0,8.75,-269.0,162.0,7.97,-139.0,4.43,0.0718,323.0,17.6,0.00126,90.1,-18.0,-100.0,90.0,-18.3,-63.0,-7.43,0.149,322.0,29.6,0.00556,29.7,0.0,0.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,-797.0,53.4,41.3,-797.0,53.3,0.0,19.5,0.784,320.0,119.0,0.149,12.0,1.0,40.0,20.0,Layer 1 Down,7
151.0,-6.05,-81.2,151.0,-6.0,0.0,-7.69,0.104,325.0,11.5,0.00135,103.0,0.15,68.7,103.0,0.0,0.0,3.55,0.0549,324.0,2.73,1.7199999999999998e-05,27.7,0.025,6.25,27.7,0.0,0.0,0.0,0.0,0.0,0.0,-517.0,53.5,44.1,-517.0,53.3,9.54e-07,15.5,0.802,321.0,117.0,0.153,12.0,1.0,117.0,6.0,Layer 3 Down,6
198.0,0.025,18.8,198.0,0.0,0.0,0.499,0.0211,328.0,1.54,0.0,158.0,-0.025,-12.5,158.0,0.0,0.0,0.0623,0.0217,327.0,1.16,4.48e-07,119.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-978.0,-0.001,-0.75,-978.0,0.0,0.0,0.883,2.79e-19,328.0,0.0,0.0,12.0,1.0,0.0,50.0,Prep,6
198.0,0.0,12.5,198.0,0.0,0.0,1.14,0.017,328.0,2.32,6.7e-07,158.0,-0.025,-18.8,158.0,0.0,0.0,0.374,0.018000000000000002,327.0,0.764,4.94e-07,119.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-978.0,0.00325,1.31,-978.0,0.0,0.0,-0.415,2.79e-19,328.0,0.0,-3.69e-06,12.0,1.0,0.0,50.0,Prep,6
198.0,0.0,0.0,198.0,0.0,0.0,-0.3,0.0152,328.0,0.812,-1.16e-07,158.0,-0.05,-25.0,158.0,0.0,0.0,-0.413,0.0232,327.0,2.62,1.86e-06,119.0,-0.025,-6.25,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-978.0,0.0,-0.25,-978.0,0.0,0.0,-0.152,2.79e-19,328.0,0.0,-6.98e-06,12.0,1.0,0.0,50.0,Prep,6
198.0,0.0,0.0,198.0,0.0,0.0,-0.459,0.0237,328.0,1.12,-9.39e-07,158.0,-0.05,-25.0,158.0,0.0,0.0,-0.57,0.0179,326.0,2.33,1.42e-06,119.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-978.0,0.0,-0.25,-978.0,0.0,0.0,-0.679,2.79e-19,327.0,0.0,-2.29e-06,12.0,1.0,0.0,50.0,Prep,6
198.0,0.0,6.25,198.0,0.0,0.0,4.65,0.0265,328.0,7.47,0.0,158.0,-0.025,-18.8,158.0,0.0,0.0,-0.264,0.0181,327.0,1.29,0.0,119.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-978.0,0.001,0.25,-978.0,0.0,0.0,-0.422,2.79e-19,327.0,0.0,-4.57e-06,12.0,1.0,0.0,50.0,Prep,6
198.0,0.0,0.0,198.0,0.0,0.0,-1.58,0.0237,328.0,2.43,1.78e-06,158.0,-0.05,-31.3,158.0,0.0,0.0,0.3670000000000001,0.019,327.0,0.939,0.0,119.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-978.0,0.001,0.5,-978.0,0.0,0.0,-0.679,2.79e-19,328.0,0.0,5.66e-06,12.0,1.0,0.0,50.0,Prep,6
